STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960927,256,167
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960928,250,150
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960929,206,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960930,233,111
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961001,244,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961002,217,172
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961003,194,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961004,139,61
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961005,161,50
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961006,189,72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961007,194,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961008,167,128
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961009,206,111
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961010,167,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961011,156,78
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961012,167,50
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961013,222,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961014,256,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961015,200,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961016,239,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961017,272,144
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961018,228,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961019,133,78
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961020,150,78
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961021,167,67
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961022,183,128
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961023,228,111
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961024,217,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961025,200,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961026,222,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961027,222,144
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961028,228,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961029,172,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961030,278,139
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961031,222,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961101,150,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961102,111,33
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961103,106,11
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961104,139,6
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961105,183,72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961106,178,106
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961107,217,144
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961108,222,106
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961109,133,56
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961110,100,17
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961111,72,6
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961112,67,0
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961113,44,-17
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961114,39,-6
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961115,67,-17
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961116,78,-28
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19961117,117,-17
